num_transactions,quantity,total_revenue,profit_margin,CLTV
34.0,3155,5244.581250000001,524.4581250000001,11823.616940709431
253.0,3155,5244.581250000001,524.4581250000001,11823.616940709431
51.0,2714,2019.4,201.94000000000003,3673.852576576568
175.0,1624,4428.6900000000005,442.8690000000001,11823.616940709431
17.0,197,334.40000000000003,33.440000000000005,100.7417657657655
21.0,261,300.93,30.093000000000004,81.58456297297275
103.0,724,2849.84,284.98400000000004,7316.74596900899
24.0,212,406.76,40.676,149.0573852252248
58.0,530,1079.3999999999999,107.94,1049.6435675675646
35.0,543,947.6099999999999,94.761,808.9772181081056
143.0,3155,5244.581250000001,524.4581250000001,11823.616940709431
296.0,3155,5244.581250000001,524.4581250000001,11823.616940709431
77.0,1079,3887.0700000000006,388.7070000000001,11823.616940709431
323.5,2752,5244.581250000001,524.4581250000001,11823.616940709431
217.0,2459,4252.89,425.28900000000004,11823.616940709431
29.0,235,511.24999999999994,51.125,235.47438063062998
267.0,2230,5244.581250000001,524.4581250000001,11823.616940709431
23.0,408,552.0,55.2,274.5081081081074
85.0,1506,1313.1000000000001,131.31000000000003,1553.3618108108071
22.0,174,641.3799999999999,64.13799999999999,370.6020760360349
3.0,296,500.24,50.024,225.44149333333272
11.0,173,168.89999999999998,16.889999999999997,25.70018918918911
18.0,330,917.6999999999999,91.77,758.7146756756736
93.0,1241,1791.1499999999999,179.115,2890.286777027019
202.0,2605,4320.3099999999995,432.03099999999995,11823.616940709431
167.0,1436,4067.38,406.73800000000006,11823.616940709431
52.0,794,1298.0400000000002,129.80400000000003,1517.934992432429
51.0,516,1127.65,112.76500000000001,1145.580650900898
83.0,1362,2989.2200000000003,298.922,8049.942530090069
17.0,178,457.5,45.75,188.56418918918862
13.0,240,503.15000000000003,50.315000000000005,228.0720022522517
152.0,2105,3426.3199999999997,342.632,10576.278146306277
301.0,3155,5244.581250000001,524.4581250000001,11823.616940709431
81.0,815,1620.22,162.02200000000002,2364.9665300900842
277.0,3155,5244.581250000001,524.4581250000001,11823.616940709431
87.0,808,1845.3100000000004,184.53100000000006,3067.7198163063
99.0,1532,1850.5600000000002,185.05600000000004,3085.2002825225154
27.0,126,585.2700000000001,58.527000000000015,308.59547108108035
65.0,612,1938.3999999999999,193.84,3385.040144144135
18.0,568,660.8,66.08,393.3843603603593
9.0,134,143.94,14.394,18.665516756756706
146.0,2001,3901.11,390.11100000000005,11823.616940709431
49.0,614,1433.33,143.333,1850.842242252247
32.0,353,549.84,54.98400000000001,272.3639870270263
281.0,1220,2773.42,277.34200000000004,6929.602249008993
7.0,73,234.75000000000003,23.475000000000005,49.64645270270259
107.0,1311,2399.45,239.945,5186.8110833333185
27.0,819,1272.48,127.248,1458.7435589189151
254.0,3155,5067.27,506.7270000000001,11823.616940709431
65.0,591,931.4300000000001,93.14300000000001,781.5872476576557
126.0,1263,2409.9000000000005,240.99000000000007,5232.088297297286
85.0,1394,1635.6599999999999,163.566,2410.255527567561
110.0,2198,1962.3000000000004,196.23000000000005,3469.0281891891814
11.0,91,205.25,20.525000000000002,37.95275900900891
5.0,11,84.3,8.43,6.402243243243225
70.0,584,1256.9000000000003,125.69000000000004,1423.241090090087
9.0,260,1019.3600000000001,101.93600000000002,936.1214500900879
1.0,1,63.24,6.324000000000001,3.6029708108108016
54.0,857,1710.3900000000003,171.03900000000004,2635.5260829729673
166.0,3155,5244.581250000001,524.4581250000001,11823.616940709431
77.0,1416,1708.1199999999997,170.81199999999998,2628.5350760360284
159.0,2229,4340.7699999999995,434.077,11823.616940709431
264.0,3155,5244.581250000001,524.4581250000001,11823.616940709431
40.0,341,1013.71,101.37100000000001,925.7729406306285
22.0,138,346.9,34.69,108.41406306306276
127.0,1997,2596.9300000000003,259.69300000000004,6075.716599008994
51.0,319,999.45,99.94500000000001,899.9101824324301
28.0,495,952.4100000000001,95.24100000000001,817.1935208108088
323.5,3155,5244.581250000001,524.4581250000001,11823.616940709431
11.0,132,202.56,20.256,36.964462702702605
323.5,2890,5244.581250000001,524.4581250000001,11823.616940709431
102.0,1088,2021.2,202.12,3680.404900900892
25.0,231,503.01,50.301,227.9450991891886
29.0,345,600.3900000000001,60.039000000000016,324.74608297297226
